PAIS,CONTINENTE,EXP_TOTAL,IMP_TOTAL,BALANCE_PROM,EXP_PROM,IMP_PROM,TC_PROM,N_MESES,CLUSTER
Kenia,África,278953000,254812000,61271.57360406091,708002.538071066,646730.9644670051,12.95999035532995,394,0
Kirguistán,Asia,2168000,6298000,-10482.23350253807,5502.53807106599,15984.77157360406,12.95999035532995,394,0
Kiribati,Oceanía,16027000,77858000,-156931.47208121826,40677.66497461929,197609.13705583755,12.95999035532995,394,0
Kuwait,Asia,1791716000,99010000,4296208.121827411,4547502.538071066,251294.41624365482,12.95999035532995,394,0
Laos,Asia,27857000,680808000,-1657236.0406091372,70703.04568527918,1727939.0862944163,12.95999035532995,394,0
Las Bahamas,América del Norte,1101618000,1133043000,-79758.88324873097,2795984.771573604,2875743.654822335,12.95999035532995,394,0
Lesotho,África,216000,104012000,-263441.62436548225,548.2233502538071,263989.847715736,12.95999035532995,394,0
Letonia,Europa,774675000,428695000,878121.8274111676,1966180.2030456853,1088058.3756345178,12.95999035532995,394,0
Liberia,África,80403000,45755000,87939.08629441625,204068.52791878174,116129.44162436549,12.95999035532995,394,0
Libia,África,339061000,185143000,390654.82233502535,860560.9137055838,469906.09137055837,12.95999035532995,394,0
Liechtenstein,Europa,93476000,853480000,-1928944.1624365482,237248.73096446702,2166192.893401015,12.95999035532995,394,0
Lituania,Europa,673998000,1001242000,-830568.5279187817,1710654.8223350253,2541223.350253807,12.95999035532995,394,0
Luxemburgo,Europa,810264000,2643335000,-4652464.467005076,2056507.614213198,6708972.081218274,12.95999035532995,394,0
Líbano,Asia,348204000,41899000,777423.8578680203,883766.497461929,106342.63959390864,12.95999035532995,394,0
Macau,Asia,71682000,441049000,-937479.695431472,181934.01015228426,1119413.7055837563,12.95999035532995,394,0
Macedonia del Norte,Europa,41478000,295942000,-645847.7157360406,105274.1116751269,751121.8274111676,12.95999035532995,394,0
Madagascar,África,45765000,194796000,-378251.269035533,116154.82233502538,494406.09137055837,12.95999035532995,394,0
